nodeId,sampleTime,corrosionPotential,tideLevel
A01,2026-03-08 10:00:00,-679,99
A02,2026-03-08 10:00:00,-694.7,42.7
A03,2026-03-08 10:00:00,-670.6,88.6
A04,2026-03-08 10:00:00,-709.5,79.2
B01,2026-03-08 10:00:00,-660.9,179.3
B02,2026-03-08 10:00:00,-686.5,144.5
B03,2026-03-08 10:00:00,-699.3,202.8
B04,2026-03-08 10:00:00,-719.3,114.7
C01,2026-03-08 10:00:00,-676,126.6
C02,2026-03-08 10:00:00,-689.5,40.4
C03,2026-03-08 10:00:00,-703.8,92.2
C04,2026-03-08 10:00:00,-713.8,62.8
A01,2026-03-11 10:00:00,-681.6,35
A02,2026-03-11 10:00:00,-698.8,87.4
A03,2026-03-11 10:00:00,-672.6,65.4
A04,2026-03-11 10:00:00,-714.1,148.7
B01,2026-03-11 10:00:00,-662.1,146.5
B02,2026-03-11 10:00:00,-687,188
B03,2026-03-11 10:00:00,-704.6,145.2
B04,2026-03-11 10:00:00,-726.7,121.6
C01,2026-03-11 10:00:00,-676,72.4
C02,2026-03-11 10:00:00,-692.4,52.2
C03,2026-03-11 10:00:00,-709.5,81
C04,2026-03-11 10:00:00,-718.4,100.8
A01,2026-03-14 10:00:00,-683.5,57.8
A02,2026-03-14 10:00:00,-703.3,81.8
A03,2026-03-14 10:00:00,-672.3,100.2
A04,2026-03-14 10:00:00,-719.6,175.4
B01,2026-03-14 10:00:00,-661.7,160.8
B02,2026-03-14 10:00:00,-691.9,197.7
B03,2026-03-14 10:00:00,-707.9,107.7
B04,2026-03-14 10:00:00,-731.3,118.4
C01,2026-03-14 10:00:00,-679.3,38
C02,2026-03-14 10:00:00,-696.5,91.7
C03,2026-03-14 10:00:00,-712,65.2
C04,2026-03-14 10:00:00,-724.4,165.8
A01,2026-03-17 10:00:00,-688,91.6
A02,2026-03-17 10:00:00,-705.9,68.1
A03,2026-03-17 10:00:00,-676.2,164
A04,2026-03-17 10:00:00,-722.5,140.8
B01,2026-03-17 10:00:00,-665.3,204.8
B02,2026-03-17 10:00:00,-692.7,131.6
B03,2026-03-17 10:00:00,-710.4,129.9
B04,2026-03-17 10:00:00,-734.8,55.8
C01,2026-03-17 10:00:00,-682.1,78.2
C02,2026-03-17 10:00:00,-697.9,66.7
C03,2026-03-17 10:00:00,-715.3,124.7
